chembl_id,smiles,pIC50,n
CHEMBL4870398,O=C(CSc1c[nH]c2ccccc12)N(Cc1ccccc1)Cc1ccccc1,5.435,2
CHEMBL4878063,CN(Cc1ccccc1)C(=O)CSc1c[nH]c2ccccc12,5.305,2
CHEMBL4845924,COc1ccccc1CNC(=O)CSc1c[nH]c2c(-c3ccccc3)cccc12,5.72,2
CHEMBL4869436,O=C(CSc1c[nH]c2cccc(Br)c12)N(Cc1ccccc1)Cc1ccccc1,5.42,2
CHEMBL4857861,CCOc1ccccc1CN(OC)C(=O)CSc1c[nH]c2cccc(Br)c12,5.84,2
CHEMBL5179067,CC(C)(C)OC(=O)Nc1cccn([C@H](CC2CCCCC2)C(=O)N[C@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NC2CC2)c1=O,5.62,4
CHEMBL5207860,O=C(/C=C/c1ccccc1)N[C@H](CC1CCCCC1)C(=O)N[C@H](C[C@@H]1CCNC1=O)C(=O)C(=O)NCc1ccccc1,6.75,4
CHEMBL5208812,CC(C)(C)OC(=O)Nc1cccn([C@H](CC2CC2)C(=O)N[C@H](C[C@@H]2CCNC2=O)C(=O)C(=O)NCc2ccccc2)c1=O,6.17,4
CHEMBL18786,CN(C)CCCSc1ccccc1NC(=O)/C=C/c1ccccc1,3.903,3
CHEMBL9470,CC(C)=CC[C@@H](O)C1=CC(=O)c2c(O)ccc(O)c2C1=O,4.8,8
CHEMBL485818,O=C(O)[C@H]1O[C@@H](Oc2cc3oc(-c4ccccc4)cc(=O)c3c(O)c2O)[C@H](O)[C@@H](O)[C@@H]1O,5.19,9
CHEMBL218394,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC1CCC1)C(=O)C(N)=O)C2(C)C)C(C)(C)C,5.38,13
CHEMBL3427166,CC(C)C[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](C[C@@H]1CCNC1=O)C(O)S(=O)(=O)[O-].[Na+],6.898,28
CHEMBL5180554,CSCC[C@H](C=O)NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](CC(C)C)NC(C)=O,6.01,3
CHEMBL5196922,CCC[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)OCc1ccccc1)C(=O)C(=O)NCc1ccccn1,6.35,3
CHEMBL5184946,O=C[C@@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC1CCCCC1)NC(=O)c1cc2ccccc2[nH]1,7.28,3
CHEMBL5187773,O=C[C@@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](Cc1cccc(F)c1)NC(=O)c1cc2ccccc2[nH]1,7.4,3
CHEMBL1255891,CCCC[C@H](NC(=O)[C@@H]1[C@@H]2[C@H](CN1C(=O)[C@@H](NC(=O)NC1(CS(=O)(=O)C(C)(C)C)CCCCC1)C(C)(C)C)C2(C)C)C(=O)C(=O)NC1CC1,5.24,4
CHEMBL304784,CCCC[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(C)=O,5.07,3
CHEMBL286722,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@H](C=O)Cc1ccccc1,4.699,1
CHEMBL288365,CC(C)C[C@@H](C=O)NC(=O)[C@@H](NS(=O)(=O)c1ccc(F)cc1)C(C)C,4.699,1
CHEMBL20210,CCOC(=O)/C=C/[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](CC(=O)[C@@H](NC(=O)c1cc(C)on1)C(C)C)Cc1ccc(F)cc1,4.349,2
CHEMBL590799,CN(C)C(=O)COC(=O)Cc1ccc(OC(=O)c2ccc(NC(=N)N)cc2)cc1,4.699,1
CHEMBL729,Cc1cccc(C)c1OCC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@H](Cc1ccccc1)NC(=O)[C@H](C(C)C)N1CCCNC1=O,4.869,2
CHEMBL163,CC(C)c1nc(CN(C)C(=O)N[C@H](C(=O)N[C@@H](Cc2ccccc2)C[C@H](O)[C@H](Cc2ccccc2)NC(=O)OCc2cncs2)C(C)C)cs1,4.699,1
