id,smiles,pIC50,n,source
CHO-MSK-6e55470f-5,Cc1noc(COc2cc(Cl)cc(CC(=O)Nc3cnccc3C)c2)n1,4.62,1,Moonshot
PET-UNK-b1ef24dc-1,O=C(Cc1cccc(Cl)c1)Nc1cncc2cnoc12,4.62,1,Moonshot
CHEMBL5194970,O=C(CSc1nc2cc(Cl)ccc2n1Cc1ccccc1)N1CCNC1=O,4.62,1,ChEMBL
CHEMBL5201737,CC1(C)[C@H](C(=O)O)N2C(=O)C(Br)(Br)[C@H]2S1(=O)=O,4.62,1,ChEMBL
CHEMBL6144422,C[C@@H](NC(=O)c1ccccc1CCC(=O)NN)c1cccc2ccccc12,4.62,1,ChEMBL
BEN-DND-7e92b6ca-16,O=C(c1cc(=O)[nH]c2ccccc12)N1CCN(c2ccccc2F)CC1,4.62,1,Moonshot
CHR-SOS-7098f804-10,O=C(Nc1cnccc1Cl)c1cc(Cl)ccc1O,4.62,1,Moonshot
ALP-POS-305f6ec3-41,CC(C)(C)c1ccc(N(C(=O)c2cncs2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,4.62,1,Moonshot
CHEMBL5441821,O=C(O)C[C@@H](NC(=O)c1nccc2[nH]ncc12)c1ccc(Br)cc1,4.62,1,ChEMBL
LON-WEI-babf2c61-6,C=CC(=O)N(c1ccc(C(F)(F)F)cc1)C(C(=O)NCCc1cccc(F)c1)c1cncc(C)c1,4.61,1,Moonshot
MAT-POS-a3f7f96a-6,CC1(n2cc(CNCC3(C(=O)Nc4cncc5ccccc45)CCOc4ccc(Cl)cc43)cn2)CCS(=O)(=O)C1,4.61,1,Moonshot
ALP-POS-ced8ea4d-30,O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc2c(c1)CCC(=O)N2CC(F)F,4.61,1,Moonshot
MAT-POS-86c60949-1,O=C(Nc1cncc2cc(F)ccc12)[C@H]1CCS(=O)(=O)c2ccc(Cl)cc21,4.61,1,Moonshot
